,distance,Thin,Thick
88,9518.703032556996,0.4781664576241618,0.5078734185912829
89,10563.039136911435,0.5857656159793848,0.6318726351051283
90,11721.953655481304,0.6857761698176846,0.7401252174361288
91,13008.01745788361,0.7727820962981568,0.8271700457659403
92,14435.180615603342,0.8439522840346231,0.8921334679692488
93,16018.923719909673,0.8986863733926653,0.9371504506009798
94,17776.425801483398,0.9381540780044315,0.9660278746749509
95,19726.750673198607,0.9647163998286912,0.9830889176802142
96,21891.0537173377,0.9813169511640228,0.9923111288265118
97,24292.811360283824,0.9908907913811021,0.9968356948348394
98,26958.07572382606,0.9959417873244788,0.9988317863109134
99,29915.75721530859,0.9983578312514753,0.9996170833801039
