,distance,lgrb_l,lgrb,lgrb_u,ccsn_l,ccsn,ccsn_u,sgrb_l,sgrb,sgrb_u,sn_l,sn,sn_u
66,963.6810817564195,4.3146361786661836e-11,3.310601344636946e-10,1.8859573233792438e-09,1.628164595723088e-05,8.683544510523136e-05,0.0002849288042515404,1.7472110683793962e-10,3.63327334749093e-09,1.1686643569954904e-07,6.942560536606873e-06,1.608359857647259e-05,3.2398615837498744e-05
67,1069.410501333785,5.3466469777680336e-11,4.102458687344026e-10,2.3370563833640147e-09,2.0176026331200127e-05,0.00010760547376640067,0.0003530804607960022,2.3006261362329683e-10,4.784083488590411e-09,1.538829402380992e-07,9.141560806223716e-06,2.117794920108494e-05,4.2660617095710674e-05
68,1186.7399308893398,6.623540993135425e-11,5.082213843789446e-10,2.89519559133907e-09,2.4994494313718587e-05,0.0001333039696731658,0.00043740365049007527,3.0211395332510437e-10,6.282369625435945e-09,2.0207622043599697e-07,1.200452794669289e-05,2.781048974317186e-05,5.602113041790015e-05
69,1316.9420552825295,8.205085300532651e-11,6.295725828081657e-10,3.586499549603895e-09,3.096258603974585e-05,0.00016513379221197788,0.0005418452556955524,3.956581688994761e-10,8.227593710889769e-09,2.6464553019104036e-07,1.57215166450123e-05,3.642151356094515e-05,7.336707767672405e-05
70,1461.4291908691953,1.0166173888276301e-10,7.800460467734017e-10,4.443704938586182e-09,3.8362920333118115e-05,0.00020460224177662996,0.0006713511058295669,5.167977520473751e-10,1.0746655241250052e-08,3.456726685879794e-07,2.053501001512749e-05,4.757277320171201e-05,9.583004673726161e-05
71,1621.7686050479979,1.2602238596550325e-10,9.669642193579494e-10,5.5085256758506135e-09,4.755561734547292e-05,0.00025362995917585556,0.0008322233035457761,6.73338370419341e-10,1.4001870749117424e-08,4.503786451149235e-07,2.675516703653011e-05,6.198280363462809e-05,0.00012485744617047383
72,1799.699516577357,1.5633680978231642e-10,1.199565458707082e-09,6.833590113126409e-09,5.899502255936469e-05,0.00031464012031661164,0.001032412894788882,8.752928100190142e-10,1.8201453135494733e-08,5.854607537213274e-07,3.4779846755722424e-05,8.057331165075693e-05,0.00016230595152670464
73,1997.151961067167,1.9415153049205967e-10,1.489716145913917e-09,8.486497716476821e-09,7.326472848756969e-05,0.00039074521860037165,0.0012821327485324694,1.135600187326111e-09,2.3614467471549597e-08,7.595736352313724e-07,4.512318625136866e-05,0.00010453538148233738,0.00021057486917305373
74,2216.267726281287,2.4145004129706206e-10,1.8526355369963253e-09,1.0553948346003656e-08,9.111322313096682e-05,0.000485937190031823,0.0015944814047919192,1.4711094809239449e-09,3.059128324570323e-08,9.83987136247142e-07,5.8454681361216356e-05,0.00013542001182015122,0.0002727885130190097
75,2459.423584338277,3.008018298281949e-10,2.3080391974238853e-09,1.3148256083685249e-08,0.00011351012446346978,0.0006053873304718388,0.001986427178110721,1.90402023791382e-09,3.9593533424168177e-08,1.2735499604589128e-06,7.565643329458888e-05,0.00017527073713246422,0.0003530633553747481
76,2729.2570728125233,3.7559159644473253e-10,2.881897784041344e-09,1.6417368523842082e-08,0.00014173267790367267,0.0007559076154862542,0.0024803218633142714,2.463992579135873e-09,5.123799138070624e-08,1.648100996640551e-06,9.790698989943867e-05,0.0002268178599336996,0.0004568992861973805
77,3028.6951043861523,4.702683802357674e-10,3.6083485779096614e-09,2.0555756243009955e-08,0.00017745976612670465,0.0009464520860090915,0.003105545907217331,3.191162943590368e-09,6.635928240313747e-08,2.1344864722028294e-06,0.0001268011765665047,0.0002937560590457359,0.000591738823977022
78,3360.985715383636,5.907904159630516e-10,4.533108852043541e-09,2.582385780467427e-08,0.00022293977960869874,0.00118901215791306,0.0039014461431522277,4.140744663577694e-09,8.610555128234412e-08,2.769637159081769e-06,0.00016453290053951105,0.0003811678862498672,0.0007678202025177182
79,3729.733297568868,7.451942903395992e-10,5.717842982479943e-09,3.257295797396361e-08,0.00028120539258098083,0.001499762093765231,0.004921094370167164,5.3899518239078e-09,1.1208244190112911e-07,3.6051995643356816e-06,0.00021417027114865436,0.0004961611281610492,0.000999461265360387
80,4138.93769536777,9.444372919096118e-10,7.2466257618221796e-09,4.128200741365914e-08,0.0003563914309092875,0.0019007542981828668,0.006236850040912531,7.048323471848915e-09,1.465677861033483e-07,4.714441527528082e-06,0.00028006583331849995,0.0006488191805211914,0.0013069738888196664
81,4593.037592608176,1.2036558602136505e-09,9.235598424280841e-09,5.261263036782938e-08,0.0004542097585711889,0.0024224520457130074,0.007948670774995805,9.273610348091979e-09,1.928419635298597e-07,6.202878444750265e-06,0.0003684878284010058,0.0008536634691289968,0.0017196098658713605
82,5096.958659397602,1.5438737844859575e-09,1.1846075579074643e-08,6.748379120866292e-08,0.0005825938809380972,0.003107167365003185,0.0101953929164167,1.2295602071226514e-08,2.556833808188825e-07,8.2242106569131e-06,0.0004885669697176099,0.0011318468131791294,0.0022799791920155126
83,5656.166981393226,1.9944337730310856e-09,1.530320253520707e-08,8.717808001613864e-08,0.0007526165181249379,0.004013954763333002,0.013170789067186413,1.6451708098892612e-08,3.4210836708955504e-07,1.100412263568314e-05,0.000653710255585137,0.001514428758772234,0.003050647859397306
84,6276.728351017085,2.5960950592308863e-09,1.991972309598542e-08,1.1347711107958907e-07,0.0009796585129173156,0.005224845402225683,0.01714402397605302,2.223748437883331e-08,4.624218605929576e-07,1.4874078955378572e-05,0.0008836086508145686,0.0020470267077204174,0.004123507037134654
85,6965.3740637546225,3.4042265766137153e-09,2.6120480650746746e-08,1.4880109878909007e-07,0.0012846138024957415,0.006851273613310622,0.022480741543675478,3.0367997038923394e-08,6.314934483590694e-07,2.0312368880339494e-05,0.0012066753790300688,0.002795464628086326,0.005631151768806988
86,7729.573933236087,4.488646338056419e-09,3.444118573854611e-08,1.9620183678925856e-07,0.001693828806813743,0.009033753636339964,0.029642004119240502,4.181249142530468e-08,8.694782985129582e-07,2.7967295589111078e-05,0.0016614235003432323,0.0038489644424618214,0.007753309668268417
87,8577.617317103151,5.9139343028402774e-09,4.53773575438059e-08,2.5850215977823856e-07,0.00223167332182652,0.011902257716408106,0.039054283131964095,5.757378170366579e-08,1.1972296327782158e-06,3.850961557662414e-05,0.0022876999352449984,0.005299838183317579,0.010675933031143326
88,9518.703032556996,7.602846676224173e-09,5.8336307830147745e-08,3.3232568804879247e-07,0.002868998745744971,0.015301326643973179,0.05020747805053699,7.668888620728371e-08,1.5947225343766283e-06,5.129521527771957e-05,0.0030472405115476975,0.0070594405184188315,0.01422045572055592
89,10563.039136911435,9.313673294072219e-09,7.146340514948495e-08,4.0710710310567247e-07,0.003514593695876309,0.018744499711340314,0.061505389677835406,9.541276790087436e-08,1.9840800742301026e-06,6.381913614561795e-05,0.0037912358106307695,0.008783029627961281,0.017692433782943592
90,11721.953655481304,1.0903841100101186e-08,8.366469271775753e-08,4.7661443802329085e-07,0.004114657018906108,0.02194483743416591,0.07200649783085689,1.1175890783285544e-07,2.3239931827494443e-06,7.475264696104902e-05,0.0044407513046167725,0.01028774052236219,0.020723506088211607
91,13008.01745788361,1.2287235331140693e-08,9.427941574837513e-08,5.37083556927219e-07,0.00463669257778894,0.024729027081541018,0.08114212011130646,1.2490267691065699e-07,2.597313943705053e-06,8.354417462235997e-05,0.0049630202745956425,0.01149766363614657,0.02316076128144633
92,14435.180615603342,1.3418841316150508e-08,1.0296217865222403e-07,5.865468374040631e-07,0.005063713704207738,0.02700647308910794,0.08861498982363541,1.3471215366335655e-07,2.8012990894234412e-06,9.010548026489413e-05,0.005352800807815493,0.012400655204772557,0.024979737103138965
93,16018.923719909673,1.428911333694338e-08,1.0963973755390517e-07,6.245870295079024e-07,0.0053921182403559925,0.02875796394856529,0.09436206920622986,1.4150971804074793e-07,2.9426524148870766e-06,9.465219551069897e-05,0.005622902703605879,0.013026391263353618,0.026240212616827435
94,17776.425801483398,1.4916649840270462e-08,1.1445479751654066e-07,6.520170842130799e-07,0.005628924468026589,0.03002093049614181,0.09850617819046531,1.4587020907591756e-07,3.0333275264793456e-06,9.756881534217004e-05,0.005796167248049705,0.013427787457981816,0.027048780490898625
