,distance,lgrb_al,ccsn_al,sn_al,lgrb_fe,ccsn_fe,sn_fe
62,635.4609810297297,5.7948339095435674e-11,1.519956435290116e-05,3.3011553828957204e-06,1.205137557574617e-10,3.161016544458012e-05,6.865332807494744e-06
63,705.1800218620772,7.698824695610446e-11,2.019363854586346e-05,4.3858058716797205e-06,1.5522858483504917e-10,4.071569438296371e-05,8.84293987379993e-06
64,782.5482257424941,1.0201090255465064e-10,2.675695804712148e-05,5.811276825859195e-06,1.9915466054174329e-10,5.2237288010949055e-05,1.1345285989877997e-05
65,868.4048138455322,1.3478061732394025e-10,3.535229306857449e-05,7.678076150831023e-06,2.5451956972193074e-10,6.675923140247363e-05,1.449927057022474e-05
66,963.6810817564195,1.7753544324456562e-10,4.6566673637918844e-05,1.0113699430735498e-05,3.240472577335472e-10,8.499600202847138e-05,1.8460069190558627e-05
67,1069.410501333785,2.331005873743221e-10,6.114113767195332e-05,1.3279090838127362e-05,4.1108154741292276e-10,0.00010782466817388137,2.3418170119014858e-05
68,1186.7399308893398,3.0502007045984387e-10,8.000526438290987e-05,1.7376143358163235e-05,5.197379902610769e-10,0.00013632471875700376,2.960802485503675e-05
69,1316.9420552825295,3.977129628841302e-10,0.00010431815419911611,2.265659911512053e-05,6.550999231595131e-10,0.0001718294880418395,3.731921693408701e-05
70,1461.4291908691953,5.166618805253662e-10,0.0001355178703017354,2.9432787456158154e-05,8.234692488162118e-10,0.00021599193411572768,4.69107481907596e-05
71,1621.7686050479979,6.686388967653814e-10,0.00017538069423354266,3.809049452884754e-05,1.0327362346944347e-09,0.0002708816353296878,5.8832105173166564e-05
72,1799.699516577357,8.619637544416507e-10,0.00022608885362403953,4.910367289647108e-05,1.2927698183317646e-09,0.0003390871654640694,7.364549374922756e-05
73,1997.151961067167,1.106832723334822e-09,0.00029031677989110085,6.305317563259845e-05,1.6160561518953641e-09,0.0004238835808250135,9.206221521043262e-05
74,2216.267726281287,1.4157001732500765e-09,0.0003713311929836266,8.06484934761314e-05,2.018399437034384e-09,0.0005294162457795106,0.00011498259088023743
75,2459.423584338277,1.8037739499537839e-09,0.00047312103605345147,0.00010275597501785899,2.519979240617672e-09,0.0006609781614734878,0.0001435561944450231
76,2729.2570728125233,2.2896475385663314e-09,0.0006005632888042837,0.00013043483928718035,3.146746974600237e-09,0.000825376255632849,0.00017926140552025938
77,3028.6951043861523,2.8960177784287507e-09,0.0007596112205714756,0.00016497806196786734,3.932176742200213e-09,0.001031390620904974,0.000224005150477799
